V1,V2,V3
i.13.4.19.009,1,0.139
i.13.4.19.016,0,0.115
i.13.4.2.002,0,0.032
i.13.4.2.005,0,0.044
i.13.4.20.020,0,0.017
i.13.4.20.025,0,0.042
i.13.4.20.026,0,0.016
i.13.4.20.034,0,0.043
i.13.4.20.045,0,0.081
i.13.4.21.001,0,0.05
i.13.4.22.003,0,0.097
i.13.4.22.004,0,0.253
i.13.4.22.005,1,0.056
i.13.4.22.007,0,0.094
i.13.4.22.019,0,0.059
i.13.4.22.025,0,0.114
i.13.4.23.001,0,0.668
i.13.4.23.015,1,0.076
i.13.4.23.021,1,0.109
i.13.4.23.023,0,0.109
i.13.4.25.002,0,0.058
i.13.4.25.010,1,0.067
i.13.4.26.001,0,0.114
i.13.4.26.009,1,0.211
i.13.4.3.005,0,0.077
i.13.4.3.006,0,0.043
i.13.4.3.008,0,0.108
i.13.4.3.009,0,0.167
i.13.4.3.010,0,0.003
i.13.4.30.001,0,0.145
i.13.4.30.002,0,0.053
i.13.4.30.003,0,0.061
i.13.4.30.033,0,0.162
i.13.4.30.056,0,0.104
i.13.4.30.069,0,0.038
i.13.4.30.073,0,0.02
i.13.4.30.074,1,0.053
i.13.4.30.086,0,0.058
i.13.4.30.087,0,0.039
i.13.4.37.001,0,0.048
i.13.4.4.001,0,0.054
i.13.4.4.006,0,0.082
i.13.4.4.011,1,0.095
i.13.4.4.012,0,0.016
i.13.4.5.001,0,0.054
i.13.4.5.007,0,0.042
i.13.4.7.001,0,0.047
i.13.4.7.010,0,0.018
i.13.4.7.012,0,0.047
i.13.4.7.017,0,0.052
i.13.4.7.018,0,0.047
i.13.4.7.019,0,0.051
i.13.4.7.028,0,0.097
i.13.4.8.005,1,0.051
i.13.4.8.006,0,0.054
i.13.4.8.007,0,0.044
i.13.4.8.018,0,0.016
i.13.4.9.001,0,0.567
i.13.4.9.002,0,0.034
i.13.4.9.004,0,0.042
i.13.4.9.007,0,0.041
i.13.4.9.012,0,0.098
i.13.4.9.014,1,0.088
i.13.4.9.018,0,0.089
i.13.4.9.020,1,0.103
i.13.4.9.022,0,0.017
i.13.4.9.023,0,0.043
i.13.4.9.031,0,0.095
i.13.4.9.037,0,0.094
i.13.4.9.042,0,0.167
i.13.4.9.043,0,0.04
i.13.7.56.001,0,0.016
i.13.7.57.004,0,0.03
i.13.7.60.003,0,0.015
i.13.7.60.004,0,0.015
i.13.7.62.001,0,0.042
i.13.7.64.002,0,0.042
i.13.7.67.001,0,0.031
i.13.7.67.005,0,0.057
i.13.7.67.007,0,0.042
i.13.7.70.001,0,0.097
i.13.7.70.005,0,0.03
i.13.7.71.008,0,0.016
i.13.7.75.001,0,0.051
i.13.7.75.002,0,0.003
i.13.7.76.001,0,0.003
i.13.7.79.005,0,0.037
i.13.7.86.004,1,0.081
i.13.7.86.005,0,0.078
i.55.4.1.001,0,0.102
i.55.4.1.002,1,0.048
i.55.4.1.013,0,0.048
i.55.4.1.015,0,0.044
i.55.4.1.018,0,0.05
i.55.4.1.019,0,0.036
i.55.4.1.020,0,0.017
i.55.4.1.022,0,0.1
i.55.4.1.023,0,0.161
i.55.4.10.010,0,0.016
i.55.4.10.014,0,0.038
i.55.4.10.016,0,0.038
i.55.4.10.017,0,0.031
i.55.4.10.018,0,0.045
i.55.4.10.019,0,0.043
i.55.4.10.028,0,0.125
