CRSP2_Unique_ID,Severe_Crashes,Area_Type,Context_Zone,Int_Type,Total_Entering_ADT,Cross_Product,Design_Type,Traffic_Control,Leg_Configuration,Major_Division_Configuration,Minor_Division_Configuration,Major_Surface_Type,Minor_Surface_Type,Alignment_Skew,Railroad_Crossing,Adjacent_Curve,Adjacent_Development,Street Parking,Lighting,Previous_Stop,Major_Speed_Limit,Minor_Speed_Limit,Flashers,Overhead_Signal,Left_Turn_Phasing_Maj,Left_Turn_Phasing_Min,Maj1_Lane_Config,Maj2_Lane_Config,Sidewalk,Refuge_Island,Ped_Crossing,Bike_Facility,Ped_Indicator,Transit_Adjacent,School_Crosswalk,Legs,Max_Lanes_Cross
570022,0,suburban,residential,intersection,6300,9646875,traditional,all-way stop,x,undivided,undivided,paved,paved,0,none,no,no,no,yes,0,30,30,no,no,none,none,t,t,yes,no,yes,no,no,yes,no,4,2
570028,0,suburban,residential,intersection,6747.5,7861875,traditional,all-way stop,x,undivided,undivided,paved,paved,0,none,no,no,no,yes,0,30,30,no,no,none,none,t,t,yes,no,no,no,no,yes,no,4,2
570036,0,urban,mixed use,intersection,13075,32418750,traditional,signal,x,undivided,undivided,paved,paved,0,none,no,yes,no,yes,0,30,30,no,yes,permitted,permitted,t,tr,yes,no,yes,no,yes,yes,no,4,4
570039,0,urban,mixed use,ramp terminal,13100,0,traditional,signal,x,divided,undivided,paved,paved,40,none,yes,no,no,yes,0,30,30,no,yes,permitted/protected,permitted,ttr,ltt,yes,yes,yes,no,yes,no,no,4,3
600000,0,urban,commercial,intersection,19100,0,traditional,signal,x,divided,other,paved,paved,10,none,yes,yes,no,yes,0,35,30,no,yes,protected,protected,ttr,lltt,yes,yes,yes,no,yes,no,no,4,3
600004,0,urban,commercial,intersection,5200,0,traditional,signal,x,divided,undivided,paved,paved,5,none,yes,yes,no,yes,0,40,30,no,yes,permitted/protected,permitted,ltt,ltt,yes,yes,yes,no,yes,no,no,4,3
600008,0,suburban,residential,intersection,10200,0,traditional,signal,x,divided,divided,paved,paved,0,none,no,no,no,yes,0,40,35,no,yes,permitted/protected,permitted/protected,ltt,ltt,yes,yes,yes,no,yes,yes,no,4,3
600014,0,suburban,residential,intersection,10950,7650000,traditional,thru-stop,t,undivided,undivided,paved,paved,0,none,yes,no,no,yes,0,40,35,no,no,none,none,tt,tt,yes,no,no,no,no,no,no,3,4
600032,0,suburban,residential,intersection,11700,15300000,traditional,thru-stop,t,undivided,undivided,paved,paved,10,none,yes,no,no,yes,0,40,30,no,no,none,none,tt,tt,yes,no,no,no,no,no,no,3,4
600038,0,suburban,commercial,intersection,7200,0,traditional,signal,x,divided,undivided,paved,paved,10,none,no,yes,no,yes,0,45,40,no,yes,protected,permitted,lttr,lttr,yes,yes,yes,no,yes,no,no,4,4
600044,0,suburban,residential,intersection,8650,9250000,traditional,thru-stop,t,undivided,undivided,paved,paved,20,none,yes,no,no,yes,0,35,30,no,no,none,none,t,t,no,no,no,no,no,no,no,3,3
600054,0,suburban,residential,intersection,19300,92400000,traditional,signal,x,divided,divided,paved,paved,40,none,no,yes,no,yes,0,45,35,no,yes,permitted/protected,permitted/protected,ltr,ltr,yes,yes,yes,no,yes,yes,no,4,3
600065,0,suburban,residential,ramp terminal,10000,0,traditional,thru-stop,t,undivided,divided,paved,paved,0,none,yes,yes,no,yes,0,35,30,no,no,none,none,tt,tt,no,no,no,no,no,no,no,3,nv
600067,0,suburban,residential,ramp terminal,13750,37500000,traditional,thru-stop,t,undivided,undivided,paved,paved,10,none,no,no,no,yes,0,35,30,no,no,none,none,t,tt,no,no,no,no,no,no,no,3,nv
600068,0,suburban,residential,intersection,8050,4125000,traditional,thru-stop,x,undivided,undivided,paved,paved,5,none,no,no,no,no,0,55,55,no,no,none,none,other,other,no,no,no,no,no,no,no,4,nv
600080,0,suburban,residential,intersection,8680,8850000,traditional,thru-stop,x,undivided,undivided,paved,paved,0,none,yes,no,no,yes,0,35,30,no,no,none,none,t,t,no,no,no,no,no,no,no,4,2
600088,0,suburban,residential,intersection,18500,55312500,traditional,signal,t,undivided,undivided,paved,paved,0,none,yes,no,no,yes,0,40,35,no,yes,permitted/protected,protected,tt,tt,yes,no,yes,no,yes,yes,no,3,4
610002,0,rural,residential,intersection,10892.5,999000,traditional,thru-stop,t,undivided,undivided,paved,paved,45,none,yes,no,no,yes,0,55,55,no,no,none,none,t,tr,no,no,no,no,no,no,no,3,nv
610006,0,rural,residential,intersection,11045,2646000,traditional,thru-stop,t,divided,undivided,paved,paved,0,none,yes,no,no,yes,0,55,15,no,no,none,none,lt,tr,no,no,no,no,no,no,no,3,nv
610008,0,rural,residential,intersection,11700,9720000,traditional,thru-stop,t,divided,undivided,paved,paved,30,none,yes,yes,no,yes,0,55,55,no,no,none,none,lt,tr,no,no,no,no,no,no,no,3,nv
610010,0,rural,natural,intersection,10800,0,traditional,thru-stop,t,undivided,undivided,paved,gravel,25,none,yes,no,no,no,0,55,55,no,no,none,none,tr,t,no,no,no,no,no,no,no,3,nv
610012,0,suburban,commercial,intersection,10800,0,traditional,signal,t,divided,divided,paved,paved,5,none,yes,no,no,yes,0,55,55,no,yes,both,permitted/protected,ltt,ttr,yes,yes,yes,no,yes,no,no,3,3
610020,0,suburban,residential,intersection,23900,0,traditional,signal,x,divided,divided,paved,paved,0,none,yes,yes,no,yes,0,50,35,no,yes,protected,permitted/protected,lttr,lttr,yes,yes,yes,no,yes,no,no,4,4
610024,1,urban,commercial,intersection,16500,0,traditional,signal,x,divided,divided,paved,paved,0,none,no,yes,no,yes,0,50,40,no,yes,protected,protected,llttr,llttr,yes,yes,yes,no,yes,yes,no,4,5
