ACCN,Cur_CRSP2ID_int
110580209,C.56.4.1.012
110580213,C.04.4.19.004
110590009,C.86.4.4.004
110590086,C.27.4.81.004
110600107,C.27.4.19.056
110600144,C.25.4.8.029
110600148,C.27.4.25.003
110600158,C.27.4.66.018
110600185,C.13.4.20.006
110600266,C.73.4.75.016
110600276,C.73.7.159.013
110610107,C.27.4.10.043
110610116,C.69.4.20.007
110610277,C.73.7.137.002
110620015,C.73.4.3.001
110620058,C.69.7.569.010
110620144,C.86.4.37.019
110620151,C.25.4.6.009
110620182,C.25.4.9.011
110630061,C.27.4.15.012
110630095,C.27.4.101.007
110640051,C.27.4.31.003
110640113,C.27.4.3.017
110640127,C.27.4.60.001
110650007,C.27.4.101.007
110650073,C.27.4.130.011
110650181,C.69.4.91.007
110660028,C.73.4.2.009
110660149,C.25.4.18.001
110660178,C.27.4.130.015
110660191,C.27.4.1.023
110660268,C.86.4.35.007
110670164,C.27.4.4.013
110680019,C.25.4.18.010
110680042,C.27.4.152.003
110680154,C.56.4.42.001
110680215,C.13.4.14.009
110700045,C.27.4.16.001
110710032,C.56.4.51.005
110710047,C.73.4.75.016
110710133,C.69.4.101.006
110710136,C.43.4.5.001
110720062,C.73.4.9.032
110730049,C.27.4.81.012
110730065,C.27.4.1.023
110730067,C.27.4.48.002
110730130,C.24.4.19.001
110730131,C.27.4.3.028
110730137,C.04.4.17.001
110740047,C.86.4.3.002
110740063,C.27.4.40.012
110740085,C.55.4.13.003
110740113,C.27.4.152.025
110750096,C.27.4.66.014
110750102,C.27.4.130.011
110750128,C.27.4.9.026
110750159,C.55.4.5.014
110750166,C.55.4.2.003
110760031,C.56.7.126.007
110760108,C.27.4.152.029
110760122,C.25.4.25.009
110760295,C.69.4.90.004
110770062,C.27.4.122.001
110770082,C.69.4.34.001
110770088,C.27.4.35.005
110770122,C.55.4.4.002
110770137,C.49.7.200.002
110780109,C.25.4.30.002
110790057,C.27.4.24.008
110800012,C.27.4.3.028
110810069,C.27.4.82.004
110810124,C.27.4.1.023
110820004,C.27.4.3.010
110820026,C.27.4.8.004
110820147,C.13.4.18.006
110820232,C.27.4.8.003
110820315,C.27.4.28.013
110820417,C.18.4.20.003
110830080,C.27.4.25.003
110830238,C.55.7.147.002
110840035,C.73.4.50.023
110840071,C.04.4.57.001
110840089,C.73.4.51.001
110850022,C.27.4.81.004
110850126,C.27.4.61.053
110860045,C.73.4.2.028
110860088,C.56.4.1.009
110870042,C.86.4.37.046
110870056,C.27.4.1.023
110870142,C.27.4.24.005
110880029,C.27.4.52.001
110880042,C.49.4.52.026
110880066,C.27.4.28.014
110880073,C.27.4.1.023
