ACCN,YEAR,Seg_CRSP2ID_int
140360043,2014,048-010
140380097,2014,022-030
140450036,2014,025-030
140460052,2014,071-010
140470082,2014,022-051
140480012,2014,046-020
140480107,2014,017-020
140480160,2014,022-030
140490193,2014,022-050
140510108,2014,019-010
140570026,2014,022-030
140580275,2014,022-030
140620378,2014,019-050
140660030,2014,022-030
140780152,2014,018-020
140850058,2014,034-120
140870014,2014,046-080
140880024,2014,026-020
141000154,2014,031-020
141070068,2014,005-010
141070108,2014,018-020
141150144,2014,022-051
141220081,2014,015-005
141230018,2014,022-050
141240103,2014,084-010
141270207,2014,017-010
141300101,2014,030-051
141340001,2014,022-030
141340004,2014,034-050
141340021,2014,022-051
141430074,2014,022-030
141490037,2014,046-050
141530012,2014,034-050
141540187,2014,018-050
141590128,2014,076-030
141600028,2014,020-041
141660085,2014,022-051
141740096,2014,022-060
141750085,2014,010-010
141770012,2014,014-030
141940043,2014,026-070
141980032,2014,022-060
142080003,2014,045-080
142120143,2014,030-030
142250086,2014,018-020
142260093,2014,029-031
142340082,2014,010-021
142360099,2014,013-030
142380015,2014,013-012
142390151,2014,046-080
142420125,2014,022-051
142480127,2014,048-010
142490085,2014,022-050
142550157,2014,030-030
142580069,2014,022-051
142610011,2014,030-010
142630049,2014,018-050
142670141,2014,046-021
142750165,2014,071-070
142830134,2014,022-050
142830204,2014,005-010
142860053,2014,035-040
142970033,2014,071-050
143000224,2014,020-050
143110155,2014,085-010
143140059,2014,045-010
143140459,2014,045-030
143210076,2014,013-010
143210157,2014,036-040
143220107,2014,022-030
143230189,2014,022-050
143250191,2014,017-010
143280204,2014,029-031
143290083,2014,005-010
143300221,2014,014-050
143330009,2014,071-070
143340078,2014,030-040
143370016,2014,005-010
143440092,2014,046-050
143450054,2014,013-030
143550022,2014,018-050
143570332,2014,033-010
143630207,2014,022-050
150020002,2014,046-080
150040039,2015,022-040
150050001,2015,046-080
150060074,2015,022-050
150200067,2015,026-020
150200072,2015,046-040
150230140,2015,020-010
150340118,2015,010-010
150370039,2015,046-031
150390063,2015,014-072
150400207,2015,022-051
150420259,2015,036-040
150450025,2015,022-030
150450030,2015,014-040
150540234,2015,022-051
150560201,2015,046-031
150640191,2015,035-011
150710040,2015,046-022
150760137,2015,030-030
150780093,2015,017-040
150820135,2015,022-050
150970053,2015,061-030
151000061,2015,045-020
151050086,2015,022-050
151250116,2015,022-050
151260024,2015,022-051
151340192,2015,046-040
151410160,2015,046-031
151430090,2015,034-020
151460213,2015,045-010
151470008,2015,022-030
151540009,2015,017-040
151580022,2015,004-050
151600125,2015,027-010
151630101,2015,046-040
151730008,2015,034-050
151740086,2015,031-040
151780108,2015,022-051
151820149,2015,022-030
151860068,2015,022-030
151890026,2015,046-050
151900064,2015,013-050
151950001,2015,022-051
151950172,2015,006-030
152000147,2015,017-050
152040013,2015,013-060
